internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type,needs_qb_item,needs_review
HOR-PNL-DRB-ENG-56,Horween Derby Leather Panels,English Tan - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),SQ3681773,Panel Derby English T 5-6 oz,Derby,English Tan,5-6,panel,,
NUB-354,Italian Nubuck,3.5 - 4 oz. - Taupe,SQ0753399,Italian Nubuck Aubergine,Nubuck,,3.5-4,full_hide,,
CHA,Tannery Row • Tri-Blend T-Shirt,Charcoal - XXL,SQ7704010,,,Charcoal,,merchandise,,
HOR-PNL-ESX-ENG-34,Horween Essex Leather Panels,English Tan - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),SQ5236768,Panel Essex English Tan 3.5-4,Essex,English Tan,3-4,panel,,
HOR-PNL-CHX-GRN-34,Horween Chromexcel® Leather Panels,"Greener Pastures - 2' Panel (12""x24"") - 3-4 oz (1.2-1.6 mm)",SQ3562962,Panel Chrxl Greener P 3.5-4 oz,Chromexcel,Greener Pastures,3-4,panel,,
VIR-VAC-NAT-34,Virgilio • Vachetta,Natural - 3-4 oz (1.2-1.6 mm),SQ2531180,Vachetta Box Natural 3.5-4 oz,Vachetta,Natural,3-4,full_hide,,
HOR-PNL-DUB-RUS-34,Horween Dublin Leather Panels,Russet Brown - 1’ Panel (12”x12”) - 3-4 oz (1.2-1.6 mm),SQ1920105,Panel Dublin Russet Br 3.5-4 oz,Dublin,Russet Brown,3-4,panel,,
HOR-PNL-CAV-INK-34,Horween Cavalier Chromexcel® Leather Panels,Ink - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),SQ7741682,Panel Cavalier Ink 3.5-4 oz,Cavalier Chromexcel,Ink,3-4,panel,,
VIR-SMO-LIL-45,Virgilio • Smoked Mat,Lilla - 4-5 oz (1.6-2 mm),SQ5155182,Smoked Matte Lilla 4.5-5 oz,Smoked Mat,Lilla,4-5,full_hide,,
TEM-BAK-SIE-1012,Tempesti • Baku,Siena - 1.0  - 1.2 mm (2.5-3 oz),SQ7909042,Baku Siena 4.5-5 oz (1.8-2 mm),Baku,Siena,1.0-1.2,full_hide,,Y
HOR-PNL-CHX-BLK-56,Horween Chromexcel® Leather Panels,"Black - 1' Panel (12""x12"") - 5-6 oz (2-2.4 mm)",SQ4393087,Panel Chrxl Black 5-6 oz,Chromexcel,Black,5-6,panel,,
CFS-SMP-KUD,C.F. Stead  Swatch Books,Kudu Waxy,SQ3654598,Sample Book - All Stead,Kudu Waxy,,,sample_book,,
HOR-PNL-ESX-BLK-34,Horween Essex Leather Panels,Black - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),SQ8500696,Panel Essex Black 3.5-4 oz,Essex,Black,3-4,panel,,
HOR-MON-COG-45,Horween • Montana,4-5 oz (1.6 – 2 mm) - Cognac,SQ5803859,MISCELLANOUS LEATHER,Montana,Cognac,4-5,full_hide,Y,
ACC,32mm Black Cordovan Belt,Size 36 - Silver - Increase Pant Size by 2 for Belt Size,SQ5356934,Commission,,,,accessory,,
HOR-PNL-ESX-NAT-34,Horween Essex Leather Panels,Natural - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),SQ9135775,Panel Essex Natural 3.5-4 oz,Essex,Natural,3-4,panel,,
CFS-WAX-BRN-455,C.F. Stead • Waxed Elk,4.5-5oz (1.8-2 mm) - Polo Brown,SQ5981443,Waxed Elk Polo Brown 4.5-5 oz,Waxed Elk,Brown,4.5-5,full_hide,,
HOR-PNL-DUB-RUS-34,Horween Dublin Leather Panels,Russet Brown - 2’ Panel (12”x24”) - 3-4 oz (1.2-1.6 mm),SQ8313437,Panel Dublin Russet Br 3.5-4 oz,Dublin,Russet Brown,3-4,panel,,
HOR-LAT-NAT-56,Horween • Illini Latigo,Natural - 5-6 oz (2.0 –  2.4 mm),SQ8038692,Aniline Latigo Natural 5-6 oz,Latigo,Natural,5-6,full_hide,,
ARA-LUC,Arazzo Lucca Upholstery Leather,Chalk,SQ1463828,Arazzo Lucca 0.9-1.1 mm,Lucca,,,full_hide,,
HOR-PNL-ESX-NUT-56,Horween Essex Leather Panels,Brown Nut - 2’ Panel (12”x24”) - 5-6 oz (2-2.4 mm),SQ0879240,Panel Essex Brown Nut 5-6 oz,Essex,Brown Nut,5-6,panel,,
HOR-ESX-BLK-45,Horween • Essex,Black - 4-5 oz (1.6 – 2 mm),SQ0662632,*Black Essex 4-4.5oz,Essex,Black,4-5,full_hide,,
HOR-CAV-CAR-45,Horween • Cavalier Chromexcel®,4-5 oz (1.6-2 mm) - Carolina Brown,SQ3664059,*Carolina Brown Cavalier 4-4.5z,Cavalier Chromexcel,Carolina Brown,4-5,full_hide,,
