SquarespaceProductName,QuickBooksItem
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - English Tan - 3-4 oz (1.2-1.6 mm),Panel Dublin English T 3.5-4 oz
"Horween Chromexcel® Leather Panels - 2' Panel (12""x24"") - Greener Pastures - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Greener P 3.5-4 oz
"Horween Chromexcel® Leather Panels - 2' Panel (12""x24"") - Natural - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Natural 3.5-4 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Light Natural - 3-4 oz (1.2-1.6 mm),Panel Dublin Lt Nat 3.5-4 oz
"Horween Chromexcel® Leather Panels - 2' Panel (12""x24"") - Brown - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Brown 3.5-4 oz
Splenda Swatch Books - Kansas,Sample Book - All Splenda
Saphir • Pâte de Luxe Wax Polish - Neutral,Saphir Pate de Luxe
Calf Lining - Faggio,Glovey Faggio Calf Lining
Horween • Chromexcel® Double Horsefronts - Black,DHF Chrxl Black
Horween • Chromexcel® Double Horsefronts - Natural,DHF Chrxl Natural
Horween • Football - 8064 UPH Football - NO TACK,8064 Football Leather
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Black - 3-4 oz (1.2-1.6 mm),Panel Dublin Black 3.5-4 oz
Horween • Derby - Natural - 3-4 oz (1.2-1.6 mm),Derby Natural 3.5-4 oz
Horween • Derby - Light Natural - 4-5 oz (1.6 – 2 mm),Derby Light Natural 4-5 oz
Virgilio • Margot - Cobalto - 4-5 oz (1.6-2 mm),Margot Cobalto 4.5-5 oz
Tempesti Swatch Books - Elbamatt Liscio Lux,Sample Book - All Tempesti
Horween • Cavalier Chromexcel® - Ink - 5-6 oz (2-2.4 mm),*Ink Cavalier 5.5-6z
Tempesti • Elbamatt Liscio Lux - Viola - 1.8 - 2.0 (4.5-5 oz),Elbamatt Liscio Ambra 4.5-5 oz
Horween • Chromexcel® Strips - Color 8,Horsebutt Strips Chrxl Color #8
Conceria Walpier • Buttero - Resin - #19 Olive - 3-3.5 oz (1.2-1.4 mm),Buttero #19 Olive (Resin) 3-3.5
Saphir • Nappa Balm,Saphir Nappa Balm
Horween • Dublin - Olde English - 5-6 oz (2.0 –  2.4 mm),Dublin Olde English 5-6 oz
Horween • Cavalier Chromexcel® - London Bus Red - 4-5 oz (1.6-2 mm),Cavalier London Bus Red 3.5-4
Conceria Walpier • Buttero - No Resin - #102 Blue - 5-5.5 oz (2-2.2 mm),Buttero #100 Black (Res) 5-5.5
Horween • Dublin - Black - 4-5 oz (1.6 – 2 mm),*Black Dublin 4-4.5 oz
Conceria Walpier • Buttero - No Resin - #5 Burgundy - 3-3.5 oz (1.2-1.4 mm),Buttero #5 Burgundy (Res) 3-3.5
Conceria Walpier • Buttero - Resin - #23 Cognac - 3-3.5 oz (1.2-1.4 mm),Buttero #23 Cognac (Res) 3-3.5
Conceria Walpier • Buttero - Resin - Black - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Natural - 3-4 oz (1.2-1.6 mm),Panel Dublin Natural 3.5-4 oz
Horween Derby Leather Panels - 2’ Panel (12”x24”) - Olde English - 3-4 oz (1.2-1.6 mm),Panel Derby Olde Eng 3.5-4 oz
Virgilio • Vachetta Box - Fuxia - 4-5 oz (1.6-2 mm),Vachetta Alloro 4.5-5 oz
Horween • Dublin - Brown Nut - 8-9 oz (3.2 –  3.6 mm),Dublin Brown Nut 8-9 oz
Horween • Dublin - Brown Nut - 4-5 oz (1.6 – 2 mm),*Nut Brown Dublin 4-4.5z
C.F. Stead • Kudu Waxy - Deep Forest 4.5-5.5 oz // ~11.5 SF,Kudu Waxy Deep Forest
Virgilio Swatch Books - Margot,Sample Book - Margot
Virgilio • Margot - Siena - 3-4 oz (1.2-1.6 mm),Margot Fog Siena 3-3.5 oz
Horween • Russet Horsehide Strips Stained Bundles - Hard Rolled Strips - Narrows - 7-9oz,Russet Strips HR 7-9 oz
Horween • Russet Horsehide Strips Stained Bundles - Hard Rolled Strips - Regular - 7-9oz,Russet Strips HR 7-9 oz
Horween • Chromexcel® Strips - Black,*Horsebutt Strips Black Chrxl
Tempesti • Baku - Fieno - 1.8 - 2.0 (4.5-5 oz),Baku Fieno 4.5-5 oz (1.8-2 mm)
Horween • Russet Horsehide Strips Stained Bundles - Soft Rolled Strips - Regular - 9+ oz,Russet Strips SR 9 oz and up
Conceria Walpier • Buttero - No Resin - #7 Brown - 5-5.5 oz (2-2.2 mm),Buttero #2 Brown (Resin) 5-5.5
Horween • Dublin - Greener Pastures - 5-6 oz (2.0 –  2.4 mm),Dublin Greener Pastures 5-6 oz
Horween • Essex - English Tan - 4-5 oz (1.6 – 2 mm),*English Tan Essex 4.5-5z
Horween • Dublin - Light Natural - 4-5 oz (1.6 – 2 mm),Dublin Light Natural 3.5-4  oz
"Conceria Walpier • Rocky, Belt Weight (8-9 oz) - Black",Commission
Horween • Cypress - Black - 3-4 oz (1.2-1.6 mm),Cypress Black 3.5-4oz
Horween • Cypress - English Tan - 3-4 oz (1.2-1.6 mm),Cypress English Tan 3.5-4 oz
Horween • Derby - Brown Nut - 4-5 oz (1.6 – 2 mm),Derby Brown Nut 3.5-4 oz
Horween • Derby - English Tan - 4-5 oz (1.6 – 2 mm),Derby English Tan 3.5-4 oz
Horween • Chromexcel® - Burgundy - 8-9 oz (3.2 –  3.6 mm),Chrxl #5872 Burgundy 8-9 oz
Saphir • Cotton Chamois Cloth,Saphir Cloth
Saphir • Renovateur,Saphir Renovateur
Saphir • Oiled Leather Cream - Black,Saphir Oiled Cream
Horween • Derby - Brown Nut - 5-6 oz (2.0 –  2.4 mm),Derby Brown Nut 5-6 oz
Horween • Derby - Black - 5-6 oz (2.0 –  2.4 mm),Derby Black 5-6 oz
Horween • Waxed Flesh Chromexcel® - Black - 5-6 oz,*Black Beaufort Chrxl 5.5-6z
Horween • Derby - Brown Nut - 3-4 oz (1.2-1.6 mm),Derby Brown Nut 3-3.5 oz
Horween • Horween X Baseball Glove - Tan,Glovey Tan Calf Lining
Intercom Ecostick 5020 • Water-Based Leather Glue - 250 ml (8.5 fl oz),Ecostick 5020
Horween • Derby - English Tan - 5-6 oz (2.0 –  2.4 mm),Derby English Tan 5-6 oz
The Leather Conditioner,TR Leather Conditioner
Virgilio • Vachetta - Cobalto - 4-5 oz (1.6-2 mm),Vachetta Box Cobalto 3.5-4 oz
Virgilio • Vachetta - Natural - 4-5 oz (1.6-2 mm),Vachetta Box Natural 3.5-4 oz
Horween • Chromexcel® - Burgundy - 4-5 oz (1.6 – 2 mm),*#5872 Burgundy Chrxl 4-4.5z
Tempesti • Maine Eco Lux - Avocado - 1.8 - 2.0 (4.5-5 oz),Maine Eco Lux Avocado 4.5-5 oz
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Black - 3-4 oz (1.2-1.6 mm),Panel Dublin Black 3.5-4 oz
30mm Black Cordovan Belt - Size 34 - Increase pant size by 2 for belt size - Silver,Commission
Conceria Walpier • Buttero - Resin - #16 Yellow - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
Horween • Dublin - Greener Pastures - 3-4 oz (1.2-1.6 mm),Dublin Greener Pastures 3.5-4
Horween • Dublin - Brown Nut - 3-4 oz (1.2-1.6 mm),Dublin Brown Nut 3.5-4 oz
Horween • Dublin - Golf Green - 3-4 oz (1.2-1.6 mm),Rockford Dublin Golf Green 5-6
Conceria Walpier • Buttero - Resin - #102 Blue - 3-3.5 oz (1.2-1.4 mm),Buttero #100 Black (Res) 3-3.5
TR Collection Swatch Books - Italian Nubuck,Sample Book - Italian Nubuck
TR Collection Swatch Books - Nappa Lamb,"Sample Book - Kid, Lamb, Goat"
TR Collection Swatch Books - Italian Softee,Sample Book - Italian Softee
TR Collection Swatch Books - Calf Lining,Sample Book - Calf Lining
TR Collection Swatch Books - Crocco Veg,Sample Book - Crocco Veg
C.F. Stead • Waxy Mohawk - Teak: 4.5-5.5 oz (1.8-2.2 mm),Waxy Mohawk Teak Smooth
Horween • Dublin - Olde English - 4-5 oz (1.6 – 2 mm),Dublin Olde English 3.5-4 oz
Horween • Cypress - English Tan - 5-6 oz (2.0-2.4 mm),Cypress English Tan 5-6 oz
Conceria Walpier • Buttero - Resin - Black - 6.5-7 oz (2.6-2.8 mm),Buttero #100 Black (Res) 6.5-7
Conceria Walpier • Buttero - Resin - #7 Brown - 6.5-7 oz (2.6-2.8 mm),Buttero #2 Brown (Resin) 6.5-7
Splenda • Classic - Brown - 4.5-5 oz (1.8-2 mm),Splenda Classic Brown 4.5-5 oz
Splenda • Classic - Black - 4.5-5 oz (1.8-2 mm),Splenda Classic Black 4.5-5 oz
Horween • Dublin - Natural - 4-5 oz (1.6 – 2 mm),*Natural Dublin 4-4.5 oz
30mm Color 8 Cordovan Belt - Size 38 - Increase Pant Size by 2 for Belt Size - Brass,Commission
30mm Color 8 Cordovan Belt - Size 38 - Increase Pant Size by 2 for Belt Size - Silver,Commission
