internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type
VIR-VAC-COB-45,Virgilio • Vachetta,Cobalto - 4-5 oz (1.6-2 mm),SQ1674516,Vachetta Box Cobalto 4.5-5 oz,Vachetta,Cobalto,4-5,full_hide
VIR-VAC-NAT-45,Virgilio • Vachetta,Natural - 4-5 oz (1.6-2 mm),SQ6384456,Vachetta Box Natural 4.5-5 oz,Vachetta,Natural,4-5,full_hide
HOR-CHX-BUR-45,Horween • Chromexcel®,Burgundy - 4-5 oz (1.6 – 2 mm),SQ8161643,*#5872 Burgundy Chrxl 4-4.5z,Chromexcel,Burgundy,4-5,full_hide
TEM-MAI-455,Tempesti • Maine Eco Lux,Avocado - 1.8 - 2.0 (4.5-5 oz),SQ5979226,Maine Eco Lux Avocado 4.5-5 oz,Maine,,4.5-5,full_hide
HOR-PNL-DUB-BLK-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Black - 3-4 oz (1.2-1.6 mm),SQ1294026,Panel Dublin Black 3.5-4 oz,Dublin,Black,3-4,panel
ACC,30mm Black Cordovan Belt,Size 34 - Increase pant size by 2 for belt size - Silver,SQ0250517,,,,,accessory
WAL-BUT-335,Conceria Walpier • Buttero,Resin - #16 Yellow - 3-3.5 oz (1.2-1.4 mm),SQ1045620,Buttero #100 Black (Res) 3-3.5,Buttero,,3-3.5,full_hide
HOR-DUB-GRN-34,Horween • Dublin,Greener Pastures - 3-4 oz (1.2-1.6 mm),SQ9590202,Dublin Greener Pastures 3.5-4,Dublin,Greener Pastures,3-4,full_hide
HOR-DUB-NUT-34,Horween • Dublin,Brown Nut - 3-4 oz (1.2-1.6 mm),SQ7251555,Dublin Brown Nut 3.5-4 oz,Dublin,Brown Nut,3-4,full_hide
HOR-DUB-GOL-34,Horween • Dublin,Golf Green - 3-4 oz (1.2-1.6 mm),SQ0368705,,Dublin,Golf Green,3-4,full_hide
WAL-BUT-335,Conceria Walpier • Buttero,Resin - #102 Blue - 3-3.5 oz (1.2-1.4 mm),SQ0444630,Buttero #100 Black (Res) 3-3.5,Buttero,,3-3.5,full_hide
SMP,TR Collection Swatch Books,Italian Nubuck,SQ0273490,,,,,sample_book
SMP,TR Collection Swatch Books,Nappa Lamb,SQ4560735,,,,,sample_book
SMP,TR Collection Swatch Books,Italian Softee,SQ4836054,,,,,sample_book
SMP,TR Collection Swatch Books,Calf Lining,SQ5899115,,,,,sample_book
SMP,TR Collection Swatch Books,Crocco Veg,SQ2671374,,,,,sample_book
